column	nan_values
KBA13_CCM_1500	['-1']
KBA13_CCM_1600	['-1']
KBA13_CCM_1800	['-1']
KBA13_CCM_2000	['-1']
KBA13_CCM_2500	['-1']
KBA13_CCM_2501	['-1']
KBA13_CCM_3000	['-1']
KBA13_CCM_3001	['-1']
KBA13_FAB_ASIEN	['-1']
KBA13_FAB_SONSTIGE	['-1']
KBA13_FIAT	['-1']
KBA13_FORD	['-1']
KBA13_HALTER_20	['-1']
KBA13_HALTER_25	['-1']
KBA13_HALTER_30	['-1']
KBA13_HALTER_35	['-1']
KBA13_HALTER_40	['-1']
KBA13_HALTER_45	['-1']
KBA13_HALTER_50	['-1']
KBA13_HALTER_55	['-1']
KBA13_HALTER_60	['-1']
KBA13_HALTER_65	['-1']
KBA13_HALTER_66	['-1']
KBA13_HERST_ASIEN	['-1']
KBA13_HERST_AUDI_VW	['-1']
KBA13_HERST_BMW_BENZ	['-1']
KBA13_HERST_EUROPA	['-1']
KBA13_HERST_FORD_OPEL	['-1']
KBA13_HERST_SONST	['-1']
KBA13_KMH_110	['-1']
KBA13_KMH_140	['-1']
KBA13_KMH_180	['-1']
KBA13_KMH_0_140	['-1']
KBA13_KMH_140_210	['-1']
KBA13_KMH_211	['-1']
KBA13_KMH_250	['-1']
KBA13_KMH_251	['-1']
KBA13_KRSAQUOT	['-1']
KBA13_KRSHERST_AUDI_VW	['-1']
KBA13_KRSHERST_BMW_BENZ	['-1']
KBA13_KRSHERST_FORD_OPEL	['-1']
KBA13_KRSSEG_KLEIN	['-1']
KBA13_KRSSEG_OBER	['-1']
KBA13_KRSSEG_VAN	['-1']
KBA13_KRSZUL_NEU	['-1']
KBA13_KW_30	['-1']
KBA13_KW_40	['-1']
KBA13_KW_50	['-1']
KBA13_KW_60	['-1']
KBA13_KW_0_60	['-1']
KBA13_KW_70	['-1']
KBA13_KW_61_120	['-1']
KBA13_KW_80	['-1']
KBA13_KW_90	['-1']
KBA13_KW_110	['-1']
KBA13_KW_120	['-1']
KBA13_KW_121	['-1']
KBA13_MAZDA	['-1']
KBA13_MERCEDES	['-1']
KBA13_MOTOR	['-1']
KBA13_NISSAN	['-1']
KBA13_OPEL	['-1']
KBA13_PEUGEOT	['-1']
KBA13_RENAULT	['-1']
KBA13_SEG_GELAENDEWAGEN	['-1']
KBA13_SEG_GROSSRAUMVANS	['-1']
KBA13_SEG_KLEINST	['-1']
KBA13_SEG_KLEINWAGEN	['-1']
KBA13_SEG_KOMPAKTKLASSE	['-1']
KBA13_SEG_MINIVANS	['-1']
KBA13_SEG_MINIWAGEN	['-1']
KBA13_SEG_MITTELKLASSE	['-1']
KBA13_SEG_OBEREMITTELKLASSE	['-1']
KBA13_SEG_OBERKLASSE	['-1']
KBA13_SEG_SONSTIGE	['-1']
KBA13_SEG_SPORTWAGEN	['-1']
KBA13_SEG_UTILITIES	['-1']
KBA13_SEG_VAN	['-1']
KBA13_SEG_WOHNMOBILE	['-1']
KBA13_SITZE_4	['-1']
KBA13_SITZE_5	['-1']
KBA13_SITZE_6	['-1']
KBA13_TOYOTA	['-1']
KBA13_VORB_0	['-1']
KBA13_VORB_1	['-1']
KBA13_VORB_1_2	['-1']
KBA13_VORB_2	['-1']
KBA13_VORB_3	['-1']
KBA13_VW	['-1']
KKK	['-1','0']
NATIONALITAET_KZ	['-1','0']
ORTSGR_KLS9	['-1']
OST_WEST_KZ	['-1']
PLZ8_ANTG1	['-1']
PLZ8_ANTG2	['-1']
PLZ8_ANTG3	['-1']
PLZ8_ANTG4	['-1']
PLZ8_GBZ	['-1']
PLZ8_HHZ	['-1']
PRAEGENDE_JUGENDJAHRE	['-1','0']
REGIOTYP	['-1','0']
SEMIO_DOM	['-1','9']
SEMIO_ERL	['-1','9']
SEMIO_FAM	['-1','9']
SEMIO_KAEM	['-1','9']
SEMIO_KRIT	['-1','9']
SEMIO_KULT	['-1','9']
SEMIO_LUST	['-1','9']
SEMIO_MAT	['-1','9']
SEMIO_PFLICHT	['-1','9']
SEMIO_RAT	['-1','9']
SEMIO_REL	['-1','9']
SEMIO_SOZ	['-1','9']
SEMIO_TRADV	['-1','9']
SEMIO_VERT	['-1','9']
SHOPPER_TYP	['-1']
TITEL_KZ	['-1','0']
VERS_TYP	['-1']
WOHNDAUER_2008	['-1','0']
WOHNLAGE	['-1']
W_KEIT_KIND_HH	['-1','0']
ZABEOTYP	['-1','9']
CAMEO_DEU_2015	['XX']
CAMEO_INTL_2015	['XX']
